"df_cciindia.text","df_cciindia.created"
"Secretary @CCI_India Ms Smita Jhingran spoke in 5th BRICS ICC on 'public interest issues in competition' and 'inter… https://t.co/MlxbT115tX",2017-11-17 12:07:57
"@CCI_India Chairperson spoke on Competition Development in BRICS ICC . @CCI_India Member Mr Augustine moderated ple… https://t.co/0Ga9u4iosO",2017-11-17 12:01:20
"@CCI_India Chairperson, Member and Secretary participate in 5th BRICS International Competition Conference 2017 in… https://t.co/RaDVIK0lnO",2017-11-17 11:55:09
".@CCI_India approves acquisition of: certain insecticide, herbicide business &amp; R&amp;D activities of DuPont by FMC; FMC’s H&amp;N business by DuPont",2017-09-27 12:54:05
".@CCI_India approves merger between Clariant Ltd. and Huntsman Corporation",2017-09-20 11:10:38
".@CCI_India approves share subscription in ANI Technologies Private Limited by Copper Technology Pte. Ltd",2017-09-20 11:10:20
"@CCI_India imposes Rs 11.82 cr penalty on 10 coal &amp; sand transportation companies for bid rigging. Detailed order on website.",2017-09-14 12:34:41
".@CCI_India approves acquisition by Green Boat Investment Ltd of up to 49% shares of Tata Technologies Ltd from existing shareholders",2017-08-09 10:54:54
".@CCI India approves acquisition of 20 percent stake in One97 Communications Limited by SoftBank Group Corp”",2017-07-18 10:29:55
".@CCI_India approves acquisition by Essilor International S.A. of Luxottica Group",2017-07-12 12:25:32
".@CCI_India approves share acquisition by Deere &amp; Company in certain companies of Wirtgen Group and certain assets of Wirtgen Group Holding",2017-07-12 12:25:14
".@CCI_India approves merger of Azure Hospitality with Akira Marketing, Mama Catering and Claridges Hospitality",2017-07-04 13:21:39
".@CCI_India approves combining of human API business of SeQuent and Strides in Solara Active Pharma Sciences Ltd",2017-06-30 13:35:35
".@CCI_India approves acquisition by Airtel of Aircel’s Right to Use of Spectrum in 2300 MHz band",2017-06-30 13:34:19
".@CCI_India approves acquisition by Airtel of Videocon’s Right to Use of Spectrum in 1800 MHz band",2017-06-30 13:33:45
".@CCI_India approves merger of Chennai Network Infrastructure Limited into GTL Infrastructure Limited",2017-06-27 13:04:16
".@CCI_India approves acquisition of 9% stake by Red Bloom Investment in ICICI Lombard General Insurance Company",2017-06-27 13:03:57
".@CCI_India approves acquisition of 49% equity shares of Mukand Alloy Steels Private Limited by Sumitomo Corporation",2017-06-20 02:50:59
".@CCI_India approves acquisition by Kotak Mahindra Bank of 26% shares of Kotak Mahindra Old Mutual Life Insurance Ltd from Old Mutual Plc",2017-06-16 11:38:27
"@CCI_India approves subscription by eBay Singapore of CCPS issued by Flipkart and acquisition of eBay India by Flipkart",2017-06-15 12:09:49
"@CCI_India imposes penalty of Rs 87 crore on Hyundai Motor India Ltd. for anti-competitive conduct.",2017-06-14 14:57:56
"@CCI_India  imposes penalty of Rs 87 crore on Hyundai Motor India Ltd. for anti-competitive conduct.",2017-06-14 14:56:55
".@CCI_India approves merger of Oil &amp; Gas business of GE and oil field services business of Baker Hughes Inc",2017-06-14 12:26:09
".@CCI_India approves acquisition of Dodla Dairy Limited by TPG Dodla Dairy Holdings Pte. Ltd.",2017-06-09 13:53:11
".@CCI_India approves amalgamation of Telenor (India) Communications Private Limited into Bharti Airtel Limited",2017-06-06 12:00:21
".@CCI_India approves Tata companies’ acquisition of 21.63% shareholding in Tata Teleservices from NTT Docomo",2017-05-25 12:10:10
".@CCI_India approves acquisition of upto 6.02 percent stake by Aceville in Flipkart",2017-05-23 12:41:01
".@CCI_India approves amalgamation of Videocon D2H Limited into and with Dish TV India Limited",2017-05-23 12:40:39
"@CCI_India celebrates Annual Day. Justice J S Khehar Chief Justice of India delivers Annual day address today at Ashok Hotel.",2017-05-20 16:25:41
"@CCI_India approves acquisition by CSP Alpha of 100% share capital of ESM Holdings Ltd",2017-05-19 10:31:32
"@CCI_India approves acquisition of Syngenta AG by China National Agrochemical Corporation, subject to modifications",2017-05-19 04:02:48
".@CCI_India approves demerger of non-financial services investments of Sundaram Finance into Sundaram Finance Invt Ltd &amp; group restructuring",2017-05-09 11:21:36
".@CCI_India approves acquisition of printer business of Samsung by HP Inc",2017-05-09 11:21:02
".@CCI_India approves acquisition of dairy business of Reliance Retail Limited by Heritage Foods Limited",2017-04-10 11:33:23
".@CCI_India approves acquisition of brand Lloyd and Lloyd’s consumer durables business by Havells",2017-04-10 11:33:02
".@CCI_India approves transfer of 50% stake from DHFL in DPL to DHFL Investments",2017-04-10 11:32:46
".@CCI_India approves NBCC (India) Limited’s acquisition of 51% stake in Hindustan Steelworks Construction Limited",2017-04-06 12:12:05
".@CCI_India approves acquisition of Ericsson India’s Electronic Manufacturing Services business by Jabil India",2017-04-06 12:11:45
".@CCI_India approves acquisition of additional 57.8% equity shareholding in Reynolds American Inc. by British American Tobacco Plc",2017-04-06 12:11:15
"comments sought on amendments to @CCI_India Lesser Penaly Regulations 2009  draft uploaded on website .Last date for comments 10 April 2017",2017-03-28 11:57:11
"@CCI_India approves acquisition of Savlon and Shower to Shower brands by ITC",2017-03-28 11:52:08
"@CCI_India approves acquisition of stakes in certain entities of KRC Group by Blackstone",2017-03-28 11:51:50
".@CCI_India approves acquisition of RCOM’s wireless business by Aircel and subsequent acquisition of 50% shareholding by RCOM in Airce",2017-03-24 13:03:16
".@CCI_India approves acquisition of shares in Future Speciality Retail Ltd. by Beacon Trusteeship Ltd",2017-03-24 13:02:55
".@CCI_India approves acquisition of tower business of RITL by Rapid, an affiliate of Brookfield",2017-03-24 13:02:36
"@CCI_India finds Coal India to have contravened Competition Act - imposes penalty of Rs 591.01 cr",2017-03-24 13:00:57
"@CCI_India finds Ass. of Malayalam Movie Artists, Film Employees Fed'n of Kerala &amp; their affiliates to have contravened Compt. Act, 2002.",2017-03-24 12:58:59
".@CCI_India approves acquisition of 14.89% shareholding in Centrum Direct Ltd by NYLIM Jacob Ballas and Jacob Ballas Capital India Pvt Ltd",2017-03-22 11:16:00
".@CCI_India approves joint venture between Trafigura and Polycab Wires",2017-03-10 11:28:22
